iter	Passed	Remaining
518	611	567
519	613	565
520	614	564
521	615	563
522	616	561
523	616	560
524	617	559
525	618	557
526	619	556
527	621	555
528	622	553
529	623	552
530	624	551
531	625	550
532	627	549
533	628	548
534	629	546
535	630	545
536	631	544
537	632	543
538	633	541
539	634	540
540	635	539
541	636	537
542	637	536
543	638	535
544	639	533
545	640	532
546	641	531
547	642	530
548	643	528
549	644	527
550	645	526
551	646	525
552	647	523
553	648	522
554	649	520
555	650	519
556	651	518
557	652	517
558	653	515
559	654	514
560	656	513
561	657	512
562	658	511
563	659	509
564	660	508
565	661	507
566	662	506
567	663	504
568	664	503
569	665	502
570	666	500
571	667	499
572	668	498
573	669	497
574	671	496
575	672	494
576	673	493
577	674	492
578	675	491
579	676	489
580	677	488
581	678	487
582	679	485
583	680	484
584	681	483
585	682	482
586	683	480
587	684	479
588	685	478
589	687	477
590	688	476
591	689	475
592	690	473
593	691	472
594	692	471
595	693	469
596	694	468
597	695	467
598	696	466
599	697	464
600	698	463
601	699	462
602	700	461
603	701	460
604	703	458
605	704	457
606	705	456
607	706	455
608	707	453
609	708	452
610	708	451
611	709	450
612	710	448
613	712	447
614	713	446
615	714	445
616	715	443
617	716	442
618	717	441
619	718	440
620	719	439
621	721	438
622	721	436
623	722	435
624	724	434
625	725	433
626	726	432
627	727	430
628	728	429
629	729	428
630	730	427
631	731	426
632	733	425
633	734	424
634	735	422
635	736	421
636	737	420
637	739	419
638	740	418
639	741	417
640	742	415
641	743	414
642	745	413
643	746	412
644	748	412
645	750	411
646	751	410
647	753	409
648	754	407
649	756	407
650	757	406
651	758	405
652	759	403
653	761	402
654	762	401
655	764	400
656	765	399
657	766	398
658	767	397
659	769	396
660	770	395
661	771	394
662	773	393
663	774	391
664	775	390
665	776	389
666	777	388
667	779	387
668	780	386
669	782	385
670	783	384
671	784	383
672	786	382
673	787	380
674	789	379
675	790	378
676	791	377
677	792	376
678	793	375
679	795	374
680	796	373
681	798	372
682	800	371
683	801	370
684	802	369
685	803	367
686	804	366
687	805	365
688	806	364
689	808	363
690	809	361
691	810	360
692	811	359
693	812	358
694	813	357
695	814	355
696	815	354
697	816	353
698	817	352
699	818	350
700	819	349
701	820	348
702	821	347
703	822	346
704	823	344
705	825	343
706	826	342
707	827	341
708	828	339
709	829	338
710	830	337
711	831	336
712	832	334
713	833	333
714	834	332
715	835	331
716	836	330
717	837	328
718	838	327
719	839	326
720	841	325
721	842	324
722	843	323
723	844	322
724	845	320
725	846	319
726	848	318
727	849	317
728	850	316
729	851	314
730	852	313
731	853	312
732	854	311
733	855	309
734	856	308
735	857	307
736	858	306
737	859	305
738	860	304
739	861	302
740	862	301
741	863	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	293
748	871	292
749	873	291
750	874	289
751	875	288
752	876	287
753	877	286
754	878	285
755	879	283
756	880	282
757	881	281
758	882	280
759	883	279
760	884	277
761	885	276
762	887	275
763	888	274
764	889	273
765	890	271
766	891	270
767	892	269
768	893	268
769	894	267
770	895	265
771	895	264
772	896	263
773	897	262
774	898	260
775	900	259
776	901	258
777	903	257
778	904	256
779	905	255
780	906	254
781	907	252
782	908	251
783	909	250
784	910	249
785	911	248
786	912	246
787	913	245
788	914	244
789	915	243
790	916	242
791	917	241
792	918	239
793	920	238
794	921	237
795	922	236
796	922	235
797	924	233
798	924	232
799	925	231
800	926	230
801	927	229
802	929	227
803	930	226
804	931	225
805	932	224
806	933	223
807	934	222
808	935	220
809	936	219
810	937	218
811	938	217
812	939	216
813	940	215
814	941	213
815	942	212
816	943	211
817	944	210
818	945	209
819	946	207
820	948	206
821	949	205
822	950	204
823	951	203
824	952	202
825	953	200
826	954	199
827	955	198
828	956	197
829	957	196
830	958	194
831	959	193
832	960	192
833	961	191
834	962	190
835	964	189
836	965	187
837	966	186
838	967	185
839	968	184
840	969	183
841	970	182
842	971	180
843	972	179
844	973	178
845	974	177
846	975	176
847	976	175
848	977	173
849	978	172
850	979	171
851	980	170
852	981	169
853	982	168
854	983	166
855	984	165
856	985	164
857	986	163
858	988	162
859	989	161
860	990	159
861	991	158
862	992	157
863	993	156
864	995	155
865	996	154
866	997	152
867	998	151
868	999	150
869	1000	149
870	1001	148
871	1002	147
872	1003	145
873	1004	144
874	1005	143
875	1006	142
876	1007	141
877	1008	140
878	1010	139
879	1011	137
880	1012	136
881	1013	135
882	1014	134
883	1015	133
884	1016	132
885	1017	130
886	1018	129
887	1019	128
888	1020	127
889	1021	126
890	1022	125
891	1023	123
892	1024	122
893	1026	121
894	1027	120
895	1028	119
896	1029	118
897	1030	117
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1037	108
905	1038	107
